,game_name.meta,platform.meta,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating,game_name.vg,platform.vg,sales
1,007 Legends,PlayStation 3,2012/10/16,41,4.1,"Eurocom Entertainment Software, Eurocom",Action,22,56,007 Legends,PlayStation 3,NA
2,007 Legends,Xbox 360,2012/10/16,45,4.5,"Eurocom Entertainment Software, Eurocom",Action,49,78,007 Legends,Xbox 360,NA
3,007: Quantum of Solace,DS,2008/11/04,65,NA,Vicarious Visions,Action,10,NA,007: Quantum of Solace,DS,NA
4,007: Quantum of Solace,PC,2008/11/04,70,6.3,"Treyarch, Beenox",Action,18,73,007: Quantum of Solace,PC,NA
5,007: Quantum of Solace,PlayStation 3,2008/11/04,65,6.6,NA,NA,NA,NA,007: Quantum of Solace,PlayStation 3,NA
6,007: Quantum of Solace,Wii,2008/11/04,54,7.3,"Treyarch, Beenox",Action,11,30,007: Quantum of Solace,Wii,NA
7,007: Quantum of Solace,Xbox 360,2008/11/04,65,7.1,Treyarch,Action,69,90,007: Quantum of Solace,Xbox 360,NA
8,007 Racing,PlayStation,2000/11/20,51,5,Eutechnyx,Driving,16,21,007 Racing,PlayStation,NA
9,007: The World is Not Enough,Nintendo 64,2000/11/01,81,7.9,Eurocom Entertainment Software,Action,16,63,007: The World is Not Enough,Nintendo 64,NA
10,007: The World is not Enough,PlayStation,2000/11/06,61,6.8,Black Ops Entertainment,Action,11,58,007: The World is not Enough,PlayStation,NA
11,100 Classic Books,DS,2010/06/14,70,6.5,Genius Sonority Inc.,Miscellaneous,7,15,100 Classic Books,DS,NA
12,101-in-1 Explosive Megamix,DS,2009/04/21,46,NA,Nordcurrent,Miscellaneous,13,NA,101-in-1 Explosive Megamix,DS,NA
13,101-in-1 Sports Party Megamix,Wii,2011/01/13,41,NA,Nordcurrent,Sports,7,NA,101-in-1 Sports Party Megamix,Wii,NA
14,11-11: Memories Retold,PC,2018/11/08,73,6.6,Digixart Entertainment,Adventure,11,33,11-11 Memories Retold,PC,NA
15,1-2-Switch,Switch,2017/03/03,58,4.8,Nintendo,Miscellaneous,63,468,1-2-Switch,Switch,3630000
16,13 Sentinels: Aegis Rim,PlayStation 4,2020/09/22,85,8.9,Vanillaware,Playing,69,350,13 Sentinels: Aegis Rim,PlayStation 4,5.00E+05
17,1503 A.D. - The New World,PC,2003/03/23,74,7.5,Sunflowers Interactive,Strategy,14,22,1503 A.D.: The New World,PC,2.00E+06
18,1701 A.D.,PC,2006/11/06,79,7.9,Related Designs,Strategy,30,52,1701 A.D.,PC,1.00E+06
19,18 Wheeler: American Pro Trucker,Dreamcast,2001/05/22,67,6.9,Sega,Driving,14,17,18 Wheeler: American Pro Trucker,Dreamcast,NA
20,18 Wheeler: American Pro Trucker,GameCube,2002/02/18,52,6.2,Acclaim Studios Cheltenham,Driving,17,10,18 Wheeler: American Pro Trucker,GameCube,NA
21,18 Wheeler: American Pro Trucker,PlayStation 2,2001/11/14,61,5.4,Acclaim Studios Cheltenham,Driving,11,19,18 Wheeler: American Pro Trucker,PlayStation 2,NA
22,187 Ride or Die,PlayStation 2,2005/08/23,52,6.6,Ubisoft,Driving,33,16,187: Ride or Die,PlayStation 2,NA
23,187 Ride or Die,Xbox,2005/08/24,51,6.5,Ubisoft Paris,Driving,40,10,187: Ride or Die,Xbox,NA
24,1954: Alcatraz,PC,2014/03/11,58,6.3,Daedalic Entertainment,General,24,42,1954: Alcatraz,PC,NA
25,198X,PC,2019/06/20,63,5.7,Hi-Bit Studios,Action,13,23,198X,PC,NA
26,198X,PlayStation 4,2019/07/16,74,5.9,Hi-Bit Studios,Action,7,15,198X,PlayStation 4,NA
27,198X,Switch,2020/01/23,65,7.1,Hi-Bit Studios,Action,10,18,198X,Switch,NA
28,1nsane,PC,2001/02/05,69,7.4,Invictus,Driving,14,29,1nsane,PC,NA
29,2002 FIFA World Cup,GameCube,2002/04/30,78,7.4,EA Sports,Sports,9,8,2002 FIFA World Cup,GameCube,NA
30,2002 FIFA World Cup,PC,2002/04/30,80,7.5,EA Sports,Sports,9,69,2002 FIFA World Cup,PC,NA
31,2002 FIFA World Cup,PlayStation 2,2002/04/22,73,5.7,EA Sports,Sports,19,19,2002 FIFA World Cup,PlayStation 2,NA
32,2002 FIFA World Cup,Xbox,2002/04/22,79,7.5,Software Creations,Sports,17,6,2002 FIFA World Cup,Xbox,NA
33,2010 FIFA World Cup South Africa,PlayStation 3,2010/04/27,82,7.6,EA Canada,Sports,56,73,2010 FIFA World Cup South Africa,PlayStation 3,NA
34,2010 FIFA World Cup South Africa,Wii,2010/04/27,70,6.8,Electronic Arts,Sports,19,14,2010 FIFA World Cup South Africa,Wii,NA
35,2010 FIFA World Cup South Africa,Xbox 360,2010/04/27,83,8.3,Electronic Arts,Sports,61,67,2010 FIFA World Cup South Africa,Xbox 360,NA
36,2014 FIFA World Cup Brazil,PlayStation 3,2014/04/15,73,4.8,EA Canada,Sports,33,103,2014 FIFA World Cup Brazil,PlayStation 3,NA
37,2014 FIFA World Cup Brazil,Xbox 360,2014/04/15,74,4.8,EA Canada,Sports,29,102,2014 FIFA World Cup Brazil,Xbox 360,NA
38,2064: Read Only Memories,PC,2015/10/05,80,4.4,MidBoss,General,12,124,2064: Read Only Memories,PC,NA
39,2064: Read Only Memories,PlayStation 4,2017/01/17,76,3.4,MidBoss,General,14,556,2064: Read Only Memories,PlayStation 4,NA
40,2064: Read Only Memories INTEGRAL,Switch,2018/07/26,74,6.5,NA,NA,NA,NA,2064: Read Only Memories INTEGRAL,Switch,NA
41,20XX,Switch,2018/07/10,77,7.6,Batterystaple Games,Action,14,15,20XX,Switch,NA
42,24: The Game,PlayStation 2,2006/02/28,62,8,SCE Studio Cambridge,Action Adventure,53,52,24: The Game,PlayStation 2,NA
43,25 to Life,PC,2006/01/17,39,5.1,"Ritual Entertainment, Avalanche Software",Action,12,54,25 to Life,PC,NA
44,25 to Life,PlayStation 2,2006/01/17,39,5.2,"Ritual Entertainment, Avalanche Software",Action,23,58,25 To Life,PlayStation 2,NA
45,25 to Life,Xbox,2006/01/17,41,7.3,"Ritual Entertainment, Avalanche Software",Action,20,15,25 To Life,Xbox,NA
46,2Dark,PC,2017/03/10,68,5.7,Gloomywood,Action Adventure,14,33,2Dark,PC,NA
47,39 Days to Mars,PC,2018/04/25,71,4.7,It's Anecdotal,Puzzle,10,9,39 Days to Mars,PC,NA
48,3D Classics: Kid Icarus,3DS,2012/03/23,77,7.4,Arika,Action,9,53,3D Classics: Kid Icarus,3DS,NA
49,3D Classics: Kirby's Adventure,3DS,2011/11/17,77,7.9,Arika,Action,7,58,3D Classics: Kirby's Adventure,3DS,NA
