game,platform,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating
God of War: Ragnarok,PlayStation 5,2022/11/09,94,NA,SCE Santa Monica,"Action Adventure, General, Open-World",125,NA
Football Manager 2023,PC,2022/11/08,82,NA,Sports Interactive,"Sports, Team, Soccer, Management",15,NA
A Little To The Left,PC,2022/11/08,79,NA,Max Inferno,"Action, Puzzle, General",11,NA
Sonic Frontiers,PlayStation 5,2022/11/08,72,NA,"Sega, Sonic Team","Action Adventure, General, Open-World, Action, Platformer, 3D",53,NA
It Takes Two,Switch,2022/11/04,86,7.3,Hazelight,"Action Adventure, Linear",14,7
Ghost Song,PC,2022/11/03,84,7,Old Moon,"2D, Action, Platformer, Metroidvania",8,22
The Entropy Centre,PC,2022/11/03,80,NA,Stubby Games,"Adventure, 3D, First-Person",7,NA
The Chant,Xbox Series X,2022/11/03,73,NA,Brass Token,"Action Adventure, Survival",7,NA
The Chant,PlayStation 5,2022/11/03,71,8.1,Brass Token,"Action Adventure, Survival",20,14
Bayonetta 3,Switch,2022/10/28,87,7.6,PlatinumGames,"Action Adventure, Linear",96,314
Call of Duty: Modern Warfare II,PC,2022/10/28,80,6.1,Infinity Ward,"Arcade, Action, Shooter, First-Person, Tactical",20,181
Call of Duty: Modern Warfare II,PlayStation 5,2022/10/28,78,5.4,Infinity Ward,"Arcade, Action, Shooter, First-Person, Tactical",34,397
Call of Duty: Modern Warfare II,Xbox Series X,2022/10/28,77,7.2,Infinity Ward,"Action, Shooter, First-Person, Tactical, Arcade",13,121
Resident Evil Village: Winters' Expansion,PlayStation 5,2022/10/28,73,4.2,NA,NA,NA,NA
Resident Evil Village: Winters' Expansion,PC,2022/10/28,69,1.8,Capcom,"Action Adventure, Survival",7,19
Signalis,PC,2022/10/27,80,6.7,rose-engine,"Action Adventure, Survival",24,33
Saturnalia,PC,2022/10/27,80,6.5,Santa Ragione,"Action Adventure, Survival",11,10
Sackboy: A Big Adventure,PC,2022/10/27,78,7.8,Sumo Digital,"Action, Platformer, 3D",10,8
Gunfire Reborn,Xbox Series X,2022/10/27,76,6.9,NA,NA,NA,NA
Sackboy: A Big Adventure,PC,2022/10/27,76,7.8,Sumo Digital,"Action, Platformer, 3D",11,8
Star Ocean: The Divine Force,PlayStation 5,2022/10/27,71,6.8,NA,NA,NA,NA
Victoria 3,PC,2022/10/25,83,4.9,Paradox Development Studio,"Strategy, Real-Time, General",32,70
Mount & Blade II: Bannerlord,PC,2022/10/25,76,8.3,Taleworlds Entertainment,"PC-style RPG, Role-Playing, Western-Style",11,27
Persona 5 Royal,PC,2022/10/21,95,8.6,Atlus,"Role-Playing, Japanese-Style",11,130
Persona 5 Royal,Xbox Series X,2022/10/21,94,8.8,Atlus,"Role-Playing, Japanese-Style",9,59
Persona 5 Royal,Switch,2022/10/21,94,8.4,Atlus,"Role-Playing, Japanese-Style",24,92
Persona 5 Royal,PlayStation 5,2022/10/21,90,7.7,Atlus,"Role-Playing, Japanese-Style",8,53
Gotham Knights,PlayStation 5,2022/10/21,69,4.7,"WB Games Montreal, Warner Bros. Games Montreal","Action Adventure, Open-World",73,411
New Tales from the Borderlands,PC,2022/10/21,69,3.7,Gearbox Software,"Adventure, General",55,26
Gotham Knights,PC,2022/10/21,66,3.2,"WB Games Montreal, Warner Bros. Games Montreal","Action Adventure, Open-World",25,166
Gotham Knights,Xbox Series X,2022/10/21,65,3.4,"WB Games Montreal, Warner Bros. Games Montreal","Action Adventure, Open-World",29,165
New Tales from the Borderlands,PlayStation 5,2022/10/21,59,5,Gearbox Software,"Adventure, General",7,13
Mario + Rabbids Sparks of Hope,Switch,2022/10/20,86,7.8,"Ubisoft Paris, Ubisoft Milan","Strategy, Turn-Based, Tactics",111,102
Vampire Survivors,PC,2022/10/20,84,8.1,poncle,"Role-Playing, Roguelike",14,32
"Warhammer 40,000: Shootas, Blood & Teef",PC,2022/10/20,78,NA,Rogueside,"Action, Platformer, 2D",10,NA
Batora: Lost Haven,PlayStation 5,2022/10/20,72,NA,Stormind Games,"Role-Playing, Action RPG",8,NA
Ultra Kaiju Monster Rancher,Switch,2022/10/20,72,9.3,"Bandai Namco Games, Koei Tecmo Games","Role-Playing, Trainer",11,57
Batora: Lost Haven,PC,2022/10/20,68,7.9,Stormind Games,"Role-Playing, Action RPG",8,34
Uncharted: Legacy of Thieves Collection,PC,2022/10/19,88,4.4,"Naughty Dog, Iron Galaxy Studios","Miscellaneous, Compilation",50,671
The Last Hero of Nostalgaia,PC,2022/10/19,74,NA,Over The Moon,"Action Adventure, General",9,NA
The Valiant,PC,2022/10/19,74,8.1,Kite Games,"Strategy, Real-Time, General",12,7
A Plague Tale: Requiem,Xbox Series X,2022/10/18,85,8.4,Asobo Studio,"Action Adventure, Linear",35,269
A Plague Tale: Requiem,PlayStation 5,2022/10/18,82,7.7,Asobo Studio,"Action Adventure, Linear",66,273
Ghostbusters: Spirits Unleashed,Xbox Series X,2022/10/18,74,8.3,IllFonic,"Action Adventure, General",15,7
Ghostbusters: Spirits Unleashed,PC,2022/10/18,69,7.1,IllFonic,"Action Adventure, General",11,15
Ghostbusters: Spirits Unleashed,PlayStation 5,2022/10/18,68,8.2,IllFonic,"Action Adventure, General",25,23
A Plague Tale: Requiem,PC,2022/10/17,83,8.1,Asobo Studio,"Action Adventure, Linear",30,246
Potionomics,PC,2022/10/17,79,7.4,Voracious Games,"Strategy, Management, Business / Tycoon",8,10
Scorn,PC,2022/10/14,70,6.7,Ebb Software,"Action Adventure, General",69,385
Nickelodeon Kart Racers 3: Slime Speedway,PlayStation 5,2022/10/14,70,8,Bamtang,"Racing, Arcade, Automobile",10,4
Scorn,Xbox Series X,2022/10/14,64,7.3,NA,NA,NA,NA
Dragon Ball: The Breakers,PlayStation 5,2022/10/14,55,NA,Dimps Corporation,"Action Adventure, General",13,NA
Dragon Ball: The Breakers,PC,2022/10/14,53,5.8,Dimps Corporation,"Action Adventure, General",9,13
Dragon Ball: The Breakers,PlayStation 4,2022/10/14,53,6.9,Dimps Corporation,"Action Adventure, General",7,7
Triangle Strategy,PC,2022/10/13,86,NA,Artdink,"Strategy, Turn-Based, Tactics",9,NA
